Application ID,Contact ID,Application Status,Applicant Type,Organisation Name: Organisation Name,Job Title Clean,Seniority,Truncated Programme Name,Truncated Programme Run,Primary Category,Secondary Category,Programme Start Date,Programme End Date,Run_Month,Run_Month_Label,Gender,Age,Country Of Residence,Domain,Programme Cost
APID-028283,0036F00002YnL5b,Attended,EE Applicant,LTD.,commercial new business,C-LEVEL,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",May-2019,Accounting & Finance,Non-AI,2019-05-27,2019-05-31,2019-05-01,May-2019,Male,53.0,Singapore,Marketing,5670.0
APID-027848,0036F00002poMwS,Attended,EE Applicant,CATERPILLAR ASIA PTE LTD,sales,MANAGER,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",May-2019,Accounting & Finance,Non-AI,2019-05-27,2019-05-31,2019-05-01,May-2019,Female,47.0,Singapore,Sales,5670.0
APID-027857,0036F00002qIDpt,Withdrawn,EE Applicant,FLABYANT NIGERIA LIMITED,production finance,MANAGER,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",May-2019,Accounting & Finance,Non-AI,2019-05-27,2019-05-31,2019-05-01,May-2019,Male,41.0,Nigeria,Logistics/Supply Chain,5670.0
APID-027889,0036F00002smedO,Withdrawn,EE Applicant,FEDERAL POLY,store,INDIVIDUAL CONTRIBUTOR,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",May-2019,Accounting & Finance,Non-AI,2019-05-27,2019-05-31,2019-05-01,May-2019,Male,57.0,Nigeria,HR,5670.0
APID-028001,0036F00002vzIsX,Attended,EE Applicant,GLAXOSMITHKLINE PTE LTD,ethics compliance,INDIVIDUAL CONTRIBUTOR,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",May-2019,Accounting & Finance,Non-AI,2019-05-27,2019-05-31,2019-05-01,May-2019,Female,38.0,Singapore,Others,5670.0
APID-027970,0036F00002wWAGc,Withdrawn,EE Applicant,SPARTAN CAPITAL MANAGEMENT PTE LTD,investment,C-LEVEL,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",May-2019,Accounting & Finance,Non-AI,2019-05-27,2019-05-31,2019-05-01,May-2019,Male,48.0,Singapore,Logistics/Supply Chain,5670.0
APID-028034,0036F00002yxzMs,Withdrawn,EE Applicant,NUS SCHOOL OF MEDICINE,professor,INDIVIDUAL CONTRIBUTOR,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",May-2019,Accounting & Finance,Non-AI,2019-05-27,2019-05-31,2019-05-01,May-2019,Female,55.0,Singapore,Strategy/Product,5670.0
APID-028208,0036F000031Q02U,Attended,EE Applicant,ASTELLAS PHARMA SINGAPORE PTE LTD,strategy planning,C-LEVEL,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",May-2019,Accounting & Finance,Non-AI,2019-05-27,2019-05-31,2019-05-01,May-2019,Female,50.0,Singapore,Education,5670.0
APID-028457,0036F000036O4rL,Attended,EE Applicant,AUDEMARS PIGUET (SINGAPORE) PTE LTD,southeast,C-LEVEL,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",May-2019,Accounting & Finance,Non-AI,2019-05-27,2019-05-31,2019-05-01,May-2019,Female,43.0,Singapore,Engineering,5670.0
APID-028541,0036F000038KACk,Attended,EE Applicant,HEATEX INDUSTRIAL TECHNOLOGY PTE LTD,business development,MANAGER,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",May-2019,Accounting & Finance,Non-AI,2019-05-27,2019-05-31,2019-05-01,May-2019,Male,37.0,Singapore,Sales,5670.0
APID-028551,0036F000039MP0h,Attended,EE Applicant,HERRENKNECHT ASIA HEADQUARTERS PTE LTD,engineering,DIRECTOR/VP,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",May-2019,Accounting & Finance,Non-AI,2019-05-27,2019-05-31,2019-05-01,May-2019,Male,41.0,Singapore,Finance,5670.0
APID-028569,0036F000039P2jZ,Attended,EE Applicant,BOSTON SCIENTIFIC ASIA PACIFIC PTE LTD,qa ra,C-LEVEL,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",May-2019,Accounting & Finance,Non-AI,2019-05-27,2019-05-31,2019-05-01,May-2019,Male,52.0,Singapore,Engineering,5670.0
APID-028571,0036F000039P4BU,Attended,EE Applicant,MALE`WATER & SEWERAGE COMPANY PVT. LTD.,board,C-LEVEL,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",May-2019,Accounting & Finance,Non-AI,2019-05-27,2019-05-31,2019-05-01,May-2019,Female,50.0,Maldives,Others,5670.0
APID-028600,0036F000039t0WP,Withdrawn,EE Applicant,WILLS INTERNATIONAL SALES CORPORATION,business development,MANAGER,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",May-2019,Accounting & Finance,Non-AI,2019-05-27,2019-05-31,2019-05-01,May-2019,Female,34.0,Philippines,Sales,5670.0
APID-028672,0036F00003BERIX,Attended,EE Applicant,ST ENGINEERING LAND SYSTEMS,engineer,INDIVIDUAL CONTRIBUTOR,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",May-2019,Accounting & Finance,Non-AI,2019-05-27,2019-05-31,2019-05-01,May-2019,Female,,,Finance,5670.0
APID-016090,0036F00002IdJ4r,Attended,EE Applicant,QIOPTIQ SINGAPORE PTE LTD,product,MANAGER,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2015,Accounting & Finance,Non-AI,2015-04-20,2015-04-24,2015-04-01,Apr-2015,Female,47.0,Singapore,Education,5670.0
APID-016101,0036F00002IdJ7m,Attended,EE Applicant,VIKING LIFE-SAVING EQUIPMENT PTE LTD,sales,C-LEVEL,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2015,Accounting & Finance,Non-AI,2015-04-20,2015-04-24,2015-04-01,Apr-2015,Female,47.0,,Sales,5670.0
APID-013943,0036F00002IdHxC,Attended,EE Applicant,ASIA-PACIFIC REGIONAL NETWORK FOR EARLY CHILDHOOD,programme support,INDIVIDUAL CONTRIBUTOR,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2016,Accounting & Finance,Non-AI,2016-04-18,2016-04-22,2016-04-01,Apr-2016,Female,37.0,,Legal,5670.0
APID-015401,0036F00002IdJVE,Attended,EE Applicant,GRUNDFOS (SINGAPORE) PTE LTD,hr,MANAGER,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2016,Accounting & Finance,Non-AI,2016-04-18,2016-04-22,2016-04-01,Apr-2016,Female,55.0,,Others,5670.0
APID-010045,0036F00002IdFoB,Attended,EE Applicant,ICON SOC PTE LTD,pharmacy,C-LEVEL,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2017,Accounting & Finance,Non-AI,2017-04-17,2017-04-21,2017-04-01,Apr-2017,Male,46.0,Singapore,Engineering,5670.0
APID-010145,0036F00002IdFr7,Attended,EE Applicant,SELSOR FZCO,sales,MANAGER,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2017,Accounting & Finance,Non-AI,2017-04-17,2017-04-21,2017-04-01,Apr-2017,Male,33.0,United Arab Emirates,Sales,5670.0
APID-010166,0036F00002IdFrM,Attended,EE Applicant,JOHAWAKI HOLDINGS SDN BHD,operation,C-LEVEL,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2017,Accounting & Finance,Non-AI,2017-04-17,2017-04-21,2017-04-01,Apr-2017,Male,63.0,Malaysia,Operations/Admin,5670.0
APID-010181,0036F00002IdFsq,Attended,EE Applicant,IMT GHAZIABAD,professor,INDIVIDUAL CONTRIBUTOR,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2017,Accounting & Finance,Non-AI,2017-04-17,2017-04-21,2017-04-01,Apr-2017,Female,50.0,India,Strategy/Product,5670.0
APID-010202,0036F00002IdFt8,Attended,EE Applicant,VMWARE SINGAPORE,delivery,MANAGER,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2017,Accounting & Finance,Non-AI,2017-04-17,2017-04-21,2017-04-01,Apr-2017,Male,47.0,Singapore,Others,5670.0
APID-010429,0036F00002IdFuk,Attended,EE Applicant,HICAL TECHNOLOGIES PVT LTD,business development,C-LEVEL,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2017,Accounting & Finance,Non-AI,2017-04-17,2017-04-21,2017-04-01,Apr-2017,Male,38.0,India,Sales,5670.0
APID-010466,0036F00002IdFv8,Attended,EE Applicant,ST ENGINEERING LAND SYSTEMS,dgm,DIRECTOR/VP,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2017,Accounting & Finance,Non-AI,2017-04-17,2017-04-21,2017-04-01,Apr-2017,Male,54.0,Singapore,Engineering,5670.0
APID-010110,0036F00002IdGtX,Attended,EE Applicant,GRUNDFOS (S) PTE LTD,business,C-LEVEL,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2017,Accounting & Finance,Non-AI,2017-04-17,2017-04-21,2017-04-01,Apr-2017,Male,63.0,Singapore,Engineering,5670.0
APID-012451,0036F00002IdHAv,Attended,EE Applicant,ECO-SPACE (S) PTE LTD,marketing,MANAGER,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2017,Accounting & Finance,Non-AI,2017-04-17,2017-04-21,2017-04-01,Apr-2017,Female,38.0,Singapore,Marketing,5670.0
APID-012653,0036F00002IdHAz,Attended,EE Applicant,NUS BUSINESS SCHOOL,technical,MANAGER,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2017,Accounting & Finance,Non-AI,2017-04-17,2017-04-21,2017-04-01,Apr-2017,Male,41.0,Singapore,Finance,5670.0
APID-012796,0036F00002IdHUE,Attended,EE Applicant,INTERNATIONAL LUXURY HOTELS (SINGAPORE) PTE LTD,market,C-LEVEL,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2017,Accounting & Finance,Non-AI,2017-04-17,2017-04-21,2017-04-01,Apr-2017,Male,62.0,Singapore,Logistics/Supply Chain,5670.0
APID-012441,0036F00002IdHwi,Attended,EE Applicant,ABEAM CONSULTING,sales,MANAGER,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2017,Accounting & Finance,Non-AI,2017-04-17,2017-04-21,2017-04-01,Apr-2017,Male,47.0,Singapore,Sales,5670.0
APID-017331,0036F00002IdJda,Attended,EE Applicant,GOODYEAR,sales marketing,DIRECTOR/VP,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2017,Accounting & Finance,Non-AI,2017-04-17,2017-04-21,2017-04-01,Apr-2017,Male,56.0,Australia,Sales,5670.0
APID-017340,0036F00002IdJde,Attended,EE Applicant,NECOTRANS SINGAPORE PTE LTD,operations southeast,MANAGER,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2017,Accounting & Finance,Non-AI,2017-04-17,2017-04-21,2017-04-01,Apr-2017,Female,46.0,Singapore,Operations/Admin,5670.0
APID-023521,0036F00002IdH3M,Attended,EE Applicant,JULIE MANUFACTURING SDN. BHD.,hr consultant,INDIVIDUAL CONTRIBUTOR,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2018,Accounting & Finance,Non-AI,2018-04-16,2018-04-20,2018-04-01,Apr-2018,Male,44.0,Malaysia,Others,5670.0
APID-023587,0036F00002IdH3e,Withdrawn,EE Applicant,PHOENIX VENTURES (PRIVATE) LIMITED,brandix lanka,DIRECTOR/VP,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2018,Accounting & Finance,Non-AI,2018-04-16,2018-04-20,2018-04-01,Apr-2018,Male,39.0,Sri Lanka,Marketing,5670.0
APID-023588,0036F00002IdH3f,Withdrawn,EE Applicant,PHOENIX VENTURES (PRIVATE) LIMITED,management trainee brandix lanka limited,INDIVIDUAL CONTRIBUTOR,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2018,Accounting & Finance,Non-AI,2018-04-16,2018-04-20,2018-04-01,Apr-2018,Male,35.0,Sri Lanka,Marketing,5670.0
APID-023589,0036F00002IdH3g,Attended,EE Applicant,PHOENIX VENTURES (PRIVATE) LIMITED,brandix lanka limited,MANAGER,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2018,Accounting & Finance,Non-AI,2018-04-16,2018-04-20,2018-04-01,Apr-2018,Male,34.0,Sri Lanka,Marketing,5670.0
APID-023590,0036F00002IdH3i,Attended,EE Applicant,PHOENIX VENTURES (PRIVATE) LIMITED,management trainee brandix lanka limited,INDIVIDUAL CONTRIBUTOR,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2018,Accounting & Finance,Non-AI,2018-04-16,2018-04-20,2018-04-01,Apr-2018,Female,35.0,Sri Lanka,Marketing,5670.0
APID-023543,0036F00002IfZG4,Attended,EE Applicant,GLOBAL LOGISTIC PROPERTIES LIMITED,treasury,MANAGER,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2018,Accounting & Finance,Non-AI,2018-04-16,2018-04-20,2018-04-01,Apr-2018,Female,39.0,Singapore,Logistics/Supply Chain,5670.0
APID-023517,0036F00002Kml5H,Withdrawn,EE Applicant,FIRSTCOM ENGINEERING PTE LTD,operations,MANAGER,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2018,Accounting & Finance,Non-AI,2018-04-16,2018-04-20,2018-04-01,Apr-2018,Female,34.0,Singapore,Operations/Admin,5670.0
APID-023648,0036F00002PPQg2,Attended,EE Applicant,PHOENIX VENTURES (PRIVATE) LIMITED,management trainee brandix lanka limited,INDIVIDUAL CONTRIBUTOR,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2018,Accounting & Finance,Non-AI,2018-04-16,2018-04-20,2018-04-01,Apr-2018,Female,30.0,Sri Lanka,Marketing,5670.0
APID-023669,0036F00002PPTcN,Withdrawn,EE Applicant,UNIVERSAL NAVIGATION,business development,INDIVIDUAL CONTRIBUTOR,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2018,Accounting & Finance,Non-AI,2018-04-16,2018-04-20,2018-04-01,Apr-2018,Male,36.0,Singapore,Sales,5670.0
APID-026966,0036F00002QcTFh,Withdrawn,EE Applicant,ROTARY ENGINEERING,project engineer,SENIOR/LEAD,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2018,Accounting & Finance,Non-AI,2018-04-16,2018-04-20,2018-04-01,Apr-2018,Female,46.0,Singapore,Finance,5670.0
APID-027047,0036F00002RZ59R,Attended,EE Applicant,"MURPHY SARAWAK OIL CO., LTD",sarawak,DIRECTOR/VP,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2018,Accounting & Finance,Non-AI,2018-04-16,2018-04-20,2018-04-01,Apr-2018,Male,59.0,Malaysia,Engineering,5670.0
APID-027078,0036F00002RcrRg,Attended,EE Applicant,NOT EMPLOYED,not employed at present,INDIVIDUAL CONTRIBUTOR,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2018,Accounting & Finance,Non-AI,2018-04-16,2018-04-20,2018-04-01,Apr-2018,Female,56.0,Singapore,Others,5670.0
APID-029444,0036F00003SD9D1,Withdrawn,,CISCO SYSTEMS (USA) PTE LTD,engineering,MANAGER,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2021,Accounting & Finance,Non-AI,2021-04-19,2021-04-23,2021-04-01,Apr-2021,Male,48.0,Singapore,Finance,5670.0
APID-031203,0036F00003fzUEX,Withdrawn,,INFINEON TECHNOLOGIES,engineer,SENIOR/LEAD,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2021,Accounting & Finance,Non-AI,2021-04-19,2021-04-23,2021-04-01,Apr-2021,Male,35.0,Singapore,Finance,5670.0
APID-031511,0036F00003i1qdj,Withdrawn,,UNKNOWN,human resources,C-LEVEL,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2021,Accounting & Finance,Non-AI,2021-04-19,2021-04-23,2021-04-01,Apr-2021,Female,50.0,Singapore,Others,5670.0
APID-031529,0036F00003i3nG9,Attended,,STRATTON TECHNOLOGIES PTE LTD,accounts admin,MANAGER,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2021,Accounting & Finance,Non-AI,2021-04-19,2021-04-23,2021-04-01,Apr-2021,Female,43.0,Singapore,Sales,5670.0
APID-031535,0036F00003ioi5u,Attended,EE Applicant,UNKNOWN,housewife,INDIVIDUAL CONTRIBUTOR,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2021,Accounting & Finance,Non-AI,2021-04-19,2021-04-23,2021-04-01,Apr-2021,Female,42.0,Singapore,Engineering,5670.0
APID-031628,0036F00003irn9B,Attended,,LEEDEN NATIONAL OXYGEN LTD,sales,SENIOR/LEAD,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2021,Accounting & Finance,Non-AI,2021-04-19,2021-04-23,2021-04-01,Apr-2021,Male,37.0,Singapore,Sales,5670.0
APID-031642,0036F00003jUqgq,Attended,,NINJA LOGISTIC PTE LTD,marketing,MANAGER,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2021,Accounting & Finance,Non-AI,2021-04-19,2021-04-23,2021-04-01,Apr-2021,Male,33.0,Singapore,Marketing,5670.0
APID-031773,0036F00003l4sRF,Attended,,YTL CE AND BUILDER PTE LTD,admin,MANAGER,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2021,Accounting & Finance,Non-AI,2021-04-19,2021-04-23,2021-04-01,Apr-2021,Female,39.0,Singapore,Operations/Admin,5670.0
APID-031774,0036F00003l4sS8,Attended,,"BTI, A-STAR",planning business development,INDIVIDUAL CONTRIBUTOR,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2021,Accounting & Finance,Non-AI,2021-04-19,2021-04-23,2021-04-01,Apr-2021,Female,45.0,Singapore,Sales,5670.0
APID-031775,0036F00003l4sSm,Attended,,LIVINGSTONE HEALTH LTD,operations hr,DIRECTOR/VP,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2021,Accounting & Finance,Non-AI,2021-04-19,2021-04-23,2021-04-01,Apr-2021,Female,46.0,Singapore,Others,5670.0
APID-032072,0036F00003mTfyN,Attended,,CITY DEVELOPMENTS LIMITED,marketing,MANAGER,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2021,Accounting & Finance,Non-AI,2021-04-19,2021-04-23,2021-04-01,Apr-2021,Female,36.0,Singapore,Marketing,5670.0
APID-032076,0036F00003mUPqW,Attended,,LIVINGSTONE HEALTH LTD,anaesthetist,INDIVIDUAL CONTRIBUTOR,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2021,Accounting & Finance,Non-AI,2021-04-19,2021-04-23,2021-04-01,Apr-2021,Male,47.0,Singapore,Engineering,5670.0
APID-066569,0036F00003v4SUf,Withdrawn,BSC Applicant,INFOSYS LTD.,consultant,SENIOR/LEAD,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2023,Accounting & Finance,Non-AI,2023-04-17,2023-04-21,2023-04-01,Apr-2023,Male,49.0,India,Logistics/Supply Chain,5670.0
APID-066585,0036F000043E8PA,Attended,BSC Applicant,ENTERPRISE SINGAPORE (ESG01),development,INDIVIDUAL CONTRIBUTOR,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2023,Accounting & Finance,Non-AI,2023-04-17,2023-04-21,2023-04-01,Apr-2023,Female,34.0,Singapore,Engineering,5670.0
APID-066589,0036F000046VuJ8,Withdrawn,BSC Applicant,PROPNEX LIMITED,agency,C-LEVEL,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2023,Accounting & Finance,Non-AI,2023-04-17,2023-04-21,2023-04-01,Apr-2023,Male,44.0,Singapore,Engineering,5670.0
APID-066577,0036F000049RYn4,Withdrawn,BSC Applicant,SINGAPORE INSTITUTE OF TECHNOLOGY,research engineer,INDIVIDUAL CONTRIBUTOR,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2023,Accounting & Finance,Non-AI,2023-04-17,2023-04-21,2023-04-01,Apr-2023,Female,28.0,China,Others,5670.0
APID-066561,0036F000049RYnI,Attended,BSC Applicant,HANBAOBAO PTE LTD,strategy insights menu management,C-LEVEL,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2023,Accounting & Finance,Non-AI,2023-04-17,2023-04-21,2023-04-01,Apr-2023,Female,43.0,Singapore,Education,5670.0
APID-066571,0036F000049S69S,Withdrawn,BSC Applicant,NEXPERIA,supply chain,MANAGER,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2023,Accounting & Finance,Non-AI,2023-04-17,2023-04-21,2023-04-01,Apr-2023,Male,33.0,Singapore,HR,5670.0
APID-066591,0036F000049S6AF,Withdrawn,BSC Applicant,MOTT MACDONALD SG PTE LTD,project,INDIVIDUAL CONTRIBUTOR,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2023,Accounting & Finance,Non-AI,2023-04-17,2023-04-21,2023-04-01,Apr-2023,Female,46.0,Singapore,Finance,5670.0
APID-066580,0036F000049S6hR,Attended,BSC Applicant,UNKNOWN,previously a based in hong kong,INDIVIDUAL CONTRIBUTOR,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2023,Accounting & Finance,Non-AI,2023-04-17,2023-04-21,2023-04-01,Apr-2023,Male,47.0,Singapore,Engineering,5670.0
APID-066565,0036F000049S6nR,Withdrawn,BSC Applicant,CBRE PTE LTD,property,INDIVIDUAL CONTRIBUTOR,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2023,Accounting & Finance,Non-AI,2023-04-17,2023-04-21,2023-04-01,Apr-2023,Male,32.0,Singapore,Others,5670.0
APID-066551,0036F000049SGuk,Attended,BSC Applicant,QUASI-S PTE LTD,account admin,MANAGER,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2023,Accounting & Finance,Non-AI,2023-04-17,2023-04-21,2023-04-01,Apr-2023,Female,44.0,Singapore,Sales,5670.0
APID-066553,0036F000049SHF2,Attended,BSC Applicant,SAP ASIA PTE LTD,value advisor,INDIVIDUAL CONTRIBUTOR,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2023,Accounting & Finance,Non-AI,2023-04-17,2023-04-21,2023-04-01,Apr-2023,Female,49.0,Singapore,Audit/Accounting,5670.0
APID-066562,0036F000049SHFI,Attended,BSC Applicant,GUOCOLAND LTD,corporate communications,DIRECTOR/VP,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2023,Accounting & Finance,Non-AI,2023-04-17,2023-04-21,2023-04-01,Apr-2023,Male,49.0,Singapore,Marketing,5670.0
APID-066550,0036F00004Be8jv,Attended,BSC Applicant,SUMITOMO FORESTRY SINGAPORE LTD,sales,DIRECTOR/VP,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2023,Accounting & Finance,Non-AI,2023-04-17,2023-04-21,2023-04-01,Apr-2023,Male,62.0,Singapore,Sales,5670.0
APID-066552,0036F00004Be8jw,Attended,BSC Applicant,NIESSING ASIA PACIFIC PTE LTD,retail,C-LEVEL,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2023,Accounting & Finance,Non-AI,2023-04-17,2023-04-21,2023-04-01,Apr-2023,Female,56.0,Singapore,HR,5670.0
APID-066556,0036F00004Be8jz,Attended,BSC Applicant,KENSINGTON TRUST SINGAPORE LIMITED,trust administrator,SENIOR/LEAD,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2023,Accounting & Finance,Non-AI,2023-04-17,2023-04-21,2023-04-01,Apr-2023,Female,51.0,Singapore,Others,5670.0
APID-066558,0036F00004Be8k1,Attended,BSC Applicant,NINJA LOGISTIC PTE LTD,customer service,MANAGER,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2023,Accounting & Finance,Non-AI,2023-04-17,2023-04-21,2023-04-01,Apr-2023,Male,49.0,Philippines,Others,5670.0
APID-066563,0036F00004Be8k4,Attended,BSC Applicant,ORICA,specialist engineer,SENIOR/LEAD,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2023,Accounting & Finance,Non-AI,2023-04-17,2023-04-21,2023-04-01,Apr-2023,Male,33.0,Australia,Others,5670.0
APID-066566,0036F00004Be8k5,Withdrawn,BSC Applicant,INDEED,software engineer,INDIVIDUAL CONTRIBUTOR,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",Apr-2023,Accounting & Finance,Non-AI,2023-04-17,2023-04-21,2023-04-01,Apr-2023,Male,28.0,Singapore,Finance,5670.0
